CustomerID,Age,AnnualIncome,SpendingScore
1,62,37979,51
2,60,77525,63
3,58,79724,32
4,23,24715,75
5,42,65203,45
6,39,24424,40
7,31,52459,51
8,69,26148,72
9,21,69669,52
10,28,22175,10
11,47,105492,28
12,46,31655,43
13,55,95293,17
14,63,60737,36
15,68,87747,5
16,48,89428,71
17,52,42609,34
18,44,55951,93
19,51,50401,84
20,61,112950,62
21,50,39625,42
22,25,88936,95
23,54,108444,4
24,19,107811,4
25,54,63687,87
26,61,80013,91
27,67,99490,72
28,59,25619,93
29,44,27210,12
30,58,70233,53
31,46,117245,55
32,55,84245,12
33,39,23355,77
34,21,83134,44
35,54,91627,75
36,54,109895,61
37,63,99983,41
38,40,41833,10
39,32,89213,61
40,47,59222,91
41,19,101074,70
42,37,115008,21
43,42,92583,29
44,60,100615,57
45,20,51527,71
46,59,81217,65
47,43,53844,77
48,64,67518,95
49,27,55358,1
50,56,115804,93
51,21,60560,82
52,40,74301,97
53,31,94282,33
54,61,116752,39
55,22,75138,24
56,22,89770,73
57,46,54617,53
58,25,21934,81
59,42,98773,43
60,38,75453,48
61,60,47390,31
62,41,84590,79
63,42,26222,10
64,53,77377,3
65,25,72185,71
66,38,57878,1
67,29,117665,32
68,56,34123,49
69,64,92287,57
70,18,41738,41
71,53,58973,34
72,47,38389,33
73,23,102197,60
74,64,49672,29
75,61,84818,60
76,22,68586,22
77,37,24772,93
78,57,43384,84
79,52,44669,72
80,37,50160,86
81,61,58403,21
82,50,36984,17
83,37,101553,66
84,40,96705,14
85,32,80860,5
86,21,59723,32
87,23,54542,92
88,59,98892,7
89,61,27122,93
90,50,99535,18
91,31,115669,12
92,52,71542,55
93,42,114777,12
94,41,37202,12
95,48,53517,6
96,27,70062,15
97,58,57076,66
98,21,25929,31
99,38,27553,68
100,31,30625,50
101,50,44347,6
102,46,74067,15
103,54,44772,79
104,22,99380,96
105,36,24002,97
106,37,74927,73
107,54,38721,56
108,29,65587,77
109,48,97593,59
110,33,64102,30
111,41,73091,66
112,23,79087,72
113,19,46186,15
114,20,31223,20
115,53,21066,45
116,34,109760,45
117,46,61375,28
118,44,79739,88
119,43,74182,36
120,44,62960,82
121,56,26827,49
122,41,93957,59
123,64,78927,58
124,57,101815,86
125,20,50378,77
126,26,113981,27
127,19,66123,11
128,52,53986,31
129,60,90247,61
130,32,31228,90
131,20,80633,58
132,52,107209,11
133,51,60448,58
134,62,82770,19
135,26,110969,84
136,38,73099,54
137,47,81464,37
138,25,96177,92
139,43,70161,40
140,68,28338,80
141,65,84289,19
142,29,83442,41
143,54,40579,63
144,18,105870,82
145,53,57926,33
146,42,45795,17
147,25,52569,82
148,34,72025,3
149,31,111975,23
150,50,33984,10
151,27,56044,18
152,55,43169,55
153,46,22675,39
154,66,114811,11
155,32,49827,63
156,45,72816,87
157,24,31970,24
158,47,94065,57
159,20,46161,72
160,54,36183,46
161,34,39278,13
162,64,76843,60
163,56,104833,42
164,60,93428,88
165,52,82487,35
166,57,42860,40
167,67,95951,42
168,57,64256,66
169,52,107791,97
170,54,56349,28
171,37,72358,10
172,30,63546,38
173,54,22731,38
174,58,90077,69
175,41,37348,59
176,32,81601,29
177,69,67492,44
178,39,56854,99
179,63,71276,54
180,37,38863,64
181,65,112960,91
182,23,98865,93
183,36,28619,93
184,49,42810,7
185,30,24371,12
186,65,28104,69
187,24,105337,23
188,26,33448,19
189,49,62959,92
190,34,46939,54
191,67,36399,62
192,53,96091,5
193,50,69832,2
194,24,54292,12
195,49,65076,46
196,37,82764,24
197,65,112912,78
198,63,24103,24
199,54,116163,21
200,35,106397,28
